Key,Name,Organization ID,Tags,Ideas
google/gsoc2013/sugarlabs2013,Sugar Labs,sugarlabs2013,"python, learning, education, games, javascript, UI, children, i18n",http://wiki.sugarlabs.org/go/Summer_of_Code/2013
google/gsoc2013/supertuxkart,SuperTuxKart,supertuxkart,"games, c++, racing, multiplatform",http://supertuxkart.sourceforge.net/GSoC_ideas
google/gsoc2013/smc,Swathanthra Malayalam Computing,smc,"Language Technology, Indic, Rendering, i18n, python, jquery, REST API, flask, c++, RoR, Django, Harfbuzz, Language Modeling, Braille, m17n, ",http://wiki.smc.org.in/SoC/2013/Project_ideas
google/gsoc2013/sympy,SymPy,sympy,"math, physics, python, science, bsd",https://github.com/sympy/sympy/wiki/GSoC-2013-Ideas
google/gsoc2013/systers,"Systers, an Anita Borg Institute Community",systers,"Systers, Python, GNU Mailman, Women, Anita Borg Institute",http://systers.org/systers-dev/doku.php/2013_systers-mailman_development_projects
google/gsoc2013/ccm,The Centre for Computational Medicine,ccm,"computational medicine, big data, visualization, mobile, java, javascript, databases, web",https://gsoc.ccm.sickkids.ca/
google/gsoc2013/cgal,The CGAL Project,cgal,"geometry, triangulations, c++, graphs, arrangements, generic-programming, multi-processing, linear-algebra, minkowski-sums",http://www.cgal.org/project_ideas.html
google/gsoc2013/concord,The Concord Consortium,concord,"education, nonprofit, STEM, science, math, engineering, simulations, modeling, mobile, responsive Web design, JavaScript, Ruby, HTML5, WebGL, Require.js, D3, CoffeeScript, SVG, Vows, Amazon Web Services, Capistrano, SASS, Haml, WebCL",http://concord.org/GSoC-2013
google/gsoc2013/eclipse,The Eclipse Foundation,eclipse,"eclipse, java, ide, recommenders, ecf, communication, development, rcp, orion, javascript, c/c++",http://wiki.eclipse.org/Google_Summer_of_Code_2013_Ideas
google/gsoc2013/fedora,The Fedora Project,fedora,"linux, kernel, php, C, bashc, ruby, python, drupal, rails, buildservices, yum, rpm, distribution, cloud",http://fedoraproject.org/wiki/Summer_coding_ideas_for_2013
google/gsoc2013/honeynet,The Honeynet Project,honeynet,"Android, C, C++, CSS, D3.js, DB, DDoS, DNP3, DNS, DNS, DOM, Data mining, Database, Denial of Service, Design, Distributed Denial of Service, Distributed system, Django, DoS, Driver, Exploit, FTP, Fragmentation, GUI, Graphics, HTML, HTML5, HTTP, Hadoop, Honeynet, Honeypot, Hypervizors, ICS, IDS, IEC 60870, IP, IPv4, IPv6, Java, Javascript, Kernel, Lamson, Linux, Malware, MITM, Modbus, MySQL, Networking, OS, OSX, Operating system, PHP, Packet, Processing, Processing.js, Proxies, Proxy, Python, Queue, Rails, RDBMS, Research, Reverse engineering, Ruby, Ruby On Rails, SCADA, SNMP, SOCKS, SQL, SSL, Sandbox, Security, Shellcode, Spam, Splunk, TCP, UI, VM, Virtual machine, Virtualization, Visualization, VoIP, Web, Web browser, Web development, Windows, Wireshark, iOS",http://honeynet.org/gsoc/ideas
google/gsoc2013/javapathfinder,The Java Pathfinder Team,javapathfinder,"Java, JVM, Program Analysis, Testing, Verification, Model Checking, NASA",https://sites.google.com/site/jpfgsoc2013/
google/gsoc2013/lf,The Linux Foundation,lf,"kernel, lsb, web, gui, cpd, standards, wireless, printing, usability, openprinting",https://www.linuxfoundation.org/collaborate/workgroups/gsoc/google-summer-code-2013
google/gsoc2013/netbsd,The NetBSD Foundation,netbsd,"bsd, os, C, bmake, kernel, userland, packaging, pkgsrc",http://wiki.netbsd.org/projects/gsoc/
google/gsoc2013/ns3,The ns-3 Network Simulator Project,ns3,"ns3, network simulation, emulation, C, C++, Python",https://www.nsnam.org/wiki/index.php/GSOC2013Projects
google/gsoc2013/ompl,The Open Motion Planning Library,ompl,robotics; motion planning; geometry; physics simulation,http://kavrakilab.org/GSoC2013.html
google/gsoc2013/privly,The Privly Foundation,privly,"privacy, security, cryptography, browser extensions, native client, javascript, c++, rails",https://github.com/privly/privly-organization/wiki/Ideas
google/gsoc2013/wiselib,The Wiselib,wiselib,"embedded, C++, wiselib, algorithms, sensor networks, internet of things",http://www.wiselib.org/gsoc/
google/gsoc2013/thinkup,ThinkUp,thinkup,"PHP, MySQL, Twitter Bootstrap, Smarty, social, Google Charts API, maps, data visualization, Facebook, Twitter, Foursquare, Google+",https://github.com/ginatrapani/ThinkUp/wiki/Google-Summer-of-Code-2013-Ideas-Page
google/gsoc2013/timvideos,TimVideos.us,timvideos,"video, hardware, python, streaming, c, javascript, website, fpga, conference, user group",http://code.timvideos.us/Ideas.html
google/gsoc2013/tor,Tor,tor,c python security privacy anonymity anti-censorship,https://www.torproject.org/getinvolved/volunteer.html.en#Projects
google/gsoc2013/tux4kids,Tux4Kids,tux4kids,"C, C++, Android, SDL, HTML 5, iOS, JavaScript",https://code.google.com/p/google-summer-of-code-2013-tux4kids/wiki/IdeasList
google/gsoc2013/twitter,twitter,twitter,"twitter, scala, javascript, hadoop",https://github.com/twitter/twitter.github.com/wiki/Google-Summer-of-Code-2013
google/gsoc2013/typo3,TYPO3 Association,typo3,"cms, php, framework",http://wiki.typo3.org/Gsoc2013/Ideas
google/gsoc2013/wikimedia,Wikimedia,wikimedia,"wikipedia, wikimedia, mediawiki, wiki, php, javascript, html, css, opendata, i18n, input methods, jQuery, media, web, bugzilla, semantic",http://www.mediawiki.org/wiki/Summer_of_Code_2013
google/gsoc2013/wine,Wine Project,wine,,http://wiki.winehq.org/SummerOfCode
google/gsoc2013/wireshark,Wireshark,wireshark,"networking, prototocols, C, C++, packet capture",http://wiki.wireshark.org/GSoC2013
google/gsoc2013/wordpress,WordPress,wordpress,"WordPress, PHP, JavaScript, jQuery, TinyMCE, CMS, Publishing, Blogging",http://codex.wordpress.org/GSoC2013
google/gsoc2013/w3c,World Wide Web Consortium (W3C),w3c,"w3c, web, html, css, rdf, linkeddata, scala, java, php",http://www.w3.org/2013/03/gsoc2013
google/gsoc2013/worldforge,WorldForge,worldforge,C++ Python games GUI Ogre CEGUI mmorpg 3d ryzom opennel php blender,http://wiki.worldforge.org/wiki/Summer_of_Code
google/gsoc2013/xorg,X.Org Foundation,xorg,,http://www.x.org/wiki/SummerOfCodeIdeas
google/gsoc2013/xbmc,XBMC,xbmc,"media center, upnp, ffmpeg, media, x86, ARM, Android, iOS, OSX, Windows, Linux, movies, tv, music, pictures",http://wiki.xbmc.org/index.php?title=Google_Summer_of_Code_2013
google/gsoc2013/xwiki,XWiki,xwiki,"groovy, web, java, wiki, javascript, js, framework, html, design, velocity, ui, ux, css, usability",http://gsoc.xwiki.org/
